song_key,song,artist,entry_date,exit_date,days_on_playlist,peak_position,peak_date,entry_to_peak_days,reentry_count,avg_position,rank_volatility,retention_stability_index,entry_popularity,peak_popularity,exit_popularity,album_type,is_explicit,duration_ms,total_tracks
el cielo | sky rompiendo & feid & myke towers,El Cielo,Sky Rompiendo & Feid & Myke Towers,2024-06-04,2025-03-09,271,2,2024-06-10,6,4,26.42,14.57,0.0642,71.0,83.0,84.0,single,True,191320,1
el condenao | lola indigo,EL CONDENAO,Lola Indigo,2024-12-17,2025-01-04,12,35,2024-12-22,5,3,44.58,4.84,0.1713,53.0,61.0,64.0,album,False,144829,7
el conjuntito | el bobe & omar montes,El Conjuntito,El Bobe & Omar Montes,2025-03-24,2025-09-23,180,1,2025-04-09,16,4,17.29,14.02,0.0666,28.0,75.0,73.0,single,False,158711,1
el destello | juanjo bona & martin urrutia,El Destello,Juanjo Bona & Martin Urrutia,2025-10-06,2025-10-06,1,36,2025-10-06,0,0,36.0,0.0,1.0,57.0,57.0,57.0,single,False,160684,1
el estribillo | quevedo,EL ESTRIBILLO,Quevedo,2025-11-24,2025-11-27,4,16,2025-11-24,0,0,24.75,5.12,0.1635,61.0,61.0,67.0,album,False,161444,18
el fin del mundo | la la love you,El Fin del Mundo,La La Love You,2025-06-03,2025-11-23,98,37,2025-08-25,83,13,46.43,3.3,0.2323,69.0,69.0,68.0,album,False,188093,18
el jefe | shakira & fuerza regida,El Jefe,Shakira & Fuerza Regida,2024-09-24,2024-10-03,10,31,2024-09-27,3,0,39.3,5.39,0.1566,70.0,81.0,85.0,single,True,170297,1
el malo | eladio carrion,El Malo,Eladio Carrion,2025-01-21,2025-02-17,27,20,2025-01-25,4,1,34.44,9.19,0.0981,67.0,75.0,81.0,album,False,209655,17
el mambo | kiko rivera,El Mambo,Kiko Rivera,2024-10-04,2025-03-01,145,2,2024-10-13,9,1,24.43,14.01,0.0666,57.0,73.0,76.0,single,False,129845,1
el merengue | marshmello,El Merengue,Marshmello,2024-11-04,2025-11-18,317,19,2024-11-05,1,15,36.48,7.4,0.119,11.0,45.0,80.0,album,False,189668,11
el merengue | marshmello & manuel turizo,El Merengue,Marshmello & Manuel Turizo,2024-05-18,2024-11-03,170,5,2024-05-18,0,0,13.01,7.36,0.1195,91.0,91.0,89.0,single,False,189668,1
el pantalon - rumbas | omar montes,EL PANTALON - RUMBAS,Omar Montes,2025-06-02,2025-09-12,101,2,2025-06-16,14,2,23.46,13.13,0.0708,27.0,63.0,68.0,album,False,193066,11
el patio | pepe y vizio & delaossa & kiddo,El Patio,Pepe y Vizio & Delaossa & KIDDO,2025-02-22,2025-08-27,152,8,2025-03-07,13,7,28.61,14.7,0.0637,70.0,75.0,71.0,single,False,232645,1
el tonto | lola indigo,EL TONTO,Lola Indigo,2024-05-18,2025-01-10,205,2,2024-05-18,0,4,24.97,15.91,0.0592,83.0,83.0,75.0,album,False,187986,11
ella baila sola | eslabon armado,Ella Baila Sola,Eslabon Armado,2024-05-18,2024-08-09,84,9,2024-06-03,16,0,24.57,10.41,0.0876,89.0,92.0,90.0,album,False,165671,16
empelotica | lenny tavárez & feid,EMPELOTICA,Lenny Tavárez & Feid,2025-02-25,2025-04-06,36,16,2025-03-03,6,4,32.3,11.07,0.0828,0.0,79.0,83.0,single,True,190322,1
emrata | myke towers,EMRATA,Myke Towers,2024-11-25,2024-11-25,1,46,2024-11-25,0,0,46.0,0.0,1.0,0.0,0.0,0.0,album,True,225507,23
en to lao | haze & jhayco,En To Lao,Haze & Jhayco,2024-06-15,2024-07-01,11,45,2024-07-01,16,2,48.27,1.42,0.4132,71.0,79.0,79.0,single,True,195033,1
enamórate | nicki nicole & bad gyal,Enamórate,Nicki Nicole & Bad Gyal,2024-11-16,2024-12-01,15,31,2024-11-18,2,1,37.67,5.51,0.1536,49.0,63.0,76.0,single,False,147785,1
eroticaaaaaaa | gonzy,EROTICAAAAAAA,Gonzy,2025-10-13,2025-10-31,15,38,2025-10-25,12,2,45.4,3.74,0.2111,47.0,60.0,62.0,album,True,169666,18
es un secreto | plan b,Es un Secreto,Plan B,2025-06-22,2025-07-04,13,37,2025-06-30,8,0,41.54,3.57,0.2191,80.0,83.0,84.0,album,False,192120,15
escriurem | chiara oliver & martin urrutia,Escriurem,Chiara Oliver & Martin Urrutia,2025-01-25,2025-01-25,1,47,2025-01-25,0,0,47.0,0.0,1.0,56.0,56.0,56.0,single,False,189146,1
eskeleto | saiko,ESKELETO,SAIKO,2025-04-28,2025-10-23,113,11,2025-05-02,4,4,36.16,10.55,0.0866,61.0,68.0,71.0,album,True,279893,16
